// ==========================================
// MODAL VERBS
// ==========================================

dürfen, (to be allowed to), er darf, er durfte, er hat gedurft
wahrnehmen, (to notice), er nimmt wahr, er nahm wahr, er hat wahrgenommen

// w unseperable prefix
befehlen, (to command/order), er befiehlt, er befahl, er hat befohlen
behalten, (to keep), er behält, er behielt, er hat behalten
beraten, (to advise), er berät, er beriet, er hat beraten
bewegen, (to move), er bewegt, er bewog, er hat bewogen
entscheiden, (to decide), er entscheidet, er entschied, er hat entschieden
erfahren, (to find out), er erfährt, er erfuhr, er hat erfahren
erfinden, (to invent), er erfindet, er erfand, er hat erfunden
erscheinen, (to appear / to be released), es erscheint, es erschien, es ist erschienen
erschrecken, (to be frightened), er erschrickt, er erschrak, er ist erschrocken
gedeihen, (to flourish/prosper), er gedeiht, er gedieh, er ist gediehen
gelingen, (to succeed (impersonal)), er gelingt, er gelang, er ist gelungen
gefallen, (to please (someone)), er gefällt, er gefiel, er hat gefallen
genießen, (to enjoy), er genießt, er genoss, er hat genossen
geraten, (to fall into / get into), er gerät, er geriet, er ist geraten
geschehen, (to happen), er geschieht, er geschah, er ist geschehen
gewinnen, (to win), er gewinnt, er gewann, er hat gewonnen
unterbieten, (to undercut (offer at a lower price)), er unterbietet, er unterbot, er hat unterboten
unterbrechen, (to interrupt), er unterbricht, er unterbrach, er hat unterbrochen
verbergen, (to hide/conceal), er verbirgt, er verbarg, er hat verborgen
verderben, (to spoil/ruin), er verdirbt, er verdarb, er hat verdorben
vergeben, (to forgive), er vergibt, er vergab, er hat vergeben
vergessen, (to forget), er vergisst, er vergaß, er hat vergessen
verlassen, (to leave (a place/person)), er verlässt, er verließ, er hat verlassen
verlaufen sich, (to be lost (on foot)), er verläuft sich, er verlief sich, er hat sich verlaufen
verlieren, (to lose), er verliert, er verlor, er hat verloren
vermeiden, (to avoid), er vermeidet, er vermied, er hat vermieden
verschlafen, (to oversleep), er verschläft, er verschlief, er hat verschlafen
verschwinden, (to disappear), er verschwindet, er verschwand, er ist verschwunden
versprechen, (to promise), er verspricht, er versprach, er hat versprochen
verzeihen, (to pardon/excuse), er verzeiht, er verzieh, er hat verziehen
